blueberries,0,1
cloves,23.37607,Good
watermelon,47.07086,Good
breakfast cereal,71.10522,Good
vanilla cake bar,90.80098,Good
cheddar spread,110.4868,Good
rice stick,0,2
cocoa powder,18.79011,Good
soy milk drink strawberry flavor,50.84368,Good
cheddar spread,76.2236,Good
white cheese,105.2721,Good
blueberries,0,3
tacchino,21.13427,Good
hazelnut with cocoa spread,50.51603,Good
whole grain oats,71.88016,Good
caramel latte mix,88.55417,Good
breakfast cereal,103.8992,Good
vanilla cake bar,0,4
frozen bangus,24.48221,Good
bell pepper,49.85337,Good
seaweed,75.22179,Good
rice stick,96.58153,Good
chicken cutlet,0,5
chocolate cake bar,29.49044,Good
puto cheese,61.2144,Good
pain relief oil,98.96014,Good
dishwashing liquid,119.6522,Good
facial wash,147.285,Good
pet shampoo,0,6
rejuvenating serum,20.80023,Good
paper plates,40.82354,Good
black roast coffee,71.54533,Good
whole grain oats,89.22829,Good
yogurt juice,115.266,Good
rice stick,132.6175,Good
ramen,0,7
choco pie,24.13807,Good
nori,50.18188,Good
frozen bangus,87.92261,Good
whole grain oats,122.6485,Good
onion,0,8
bell pepper,22.47571,Good
milk tea,44.50211,Good
mushrooms,65.86125,Good
vanilla cake bar,85.5489,Good
imported drinks,0,9
nutella,21.13186,Good
white cheese,49.17695,Good
muffin,77.22232,Good
black roast coffee,94.23484,Good
whitening lotion,124.6223,Good
rejuvenating serum,139.9303,Good
cayenne pepper,0,10
onion,20.46579,Good
tacchino,39.48335,Good
wheat sesame,64.18275,Good
mayonnaise,82.20452,Good
shampoo,106.5709,Good
ramen,121.5764,Good
rice stick,0,11
yogurt juice,16.44446,Good
facial wash,42.48928,Good
pet shampoo,64.18443,Good
mosquito net,86.88084,Good
yogurt juice,0,12
rice stick,16.78441,Good
black roast coffee,35.80825,Good
soy milk drink strawberry flavor,55.4963,Good
chicken spread,76.85274,Good
grapes,101.2196,Good
bell pepper,118.9047,Good
puto cheese,0,13
choco pie,23.80804,Good
nutella,45.83454,Good
cayenne pepper,69.19328,Good
chicken cutlet,91.55046,Good
whitening lotion,128.9613,Good
pain relief oil,0,14
facial wash,20.12655,Good
cotton buds,40.14675,Good
prune juice,75.54277,Good
fries,109.2646,Good
grapes,141.6608,Good
sword pepper,158.8493,Good
breakfast cereal,0,15
soy sauce,19.79172,Good
cotton buds,35.12491,Good
potato chips,59.49469,Good
baby wipes,83.52876,Good
liquid detergent,0,16
facial wash,23.47361,Good
rejuvenating serum,38.81728,Good
ramen,66.19181,Good
cloves,89.56244,Good
vanilla cake bar,110.5872,Good
bell pepper,0,17
cayenne pepper,23.13787,Good
fries,43.49459,Good
chicken spread,67.86238,Good
oyster sauce,92.22496,Good
black roast coffee,0,18
frozen bangus,25.14548,Good
white cheese,48.51005,Good
mushrooms,71.87679,Good
nutella,92.23267,Good
facial wash,120.2763,Good
mosquito net,136.5837,Good
white cheese,0,19
frozen bangus,26.15189,Good
nutella,60.88271,Good
mayonnaise,72.54627,Good
ramen,87.89278,Good
dishwashing liquid,116.6119,Good
yogurt juice,0,20
cayenne pepper,28.82807,Good
mosquito net,81.27575,Good
deodorant,98.61488,Good
caramel latte mix,140.0358,Good
misua,174.9497,Good
white cheese,0,21
soy sauce,26.81996,Good
nutella,41.48381,Good
oyster sauce,59.49977,Good
seaweed,78.5203,Good
breakfast cereal,97.20101,Good
nori,0,22
rice stick,16.11784,Good
seaweed,42.83028,Good
air freshener,77.56136,Good
bell pepper,128.3402,Good
black roast coffee,163.9199,Good
soy sauce,0,23
black roast coffee,18.78901,Good
caramel latte mix,33.12341,Good
cayenne pepper,51.80971,Good
sword pepper,80.85941,Good
pain relief oil,115.9243,Good
cotton buds,0,24
chocolate cake bar,20.45538,Good
yogurt juice,36.46279,Good
fries,63.84181,Good
muffin,89.88307,Good
breakfast cereal,110.9075,Good
mosquito net,0,25
ramen,28.82747,Good
canned ham,50.18764,Good
cheddar spread,71.54817,Good
cloves,88.55909,Good
sword pepper,120.9511,Good
fries,148.3486,Good
misua,0,26
onion,25.14408,Good
muffin,53.5239,Good
chicken spread,71.86949,Good
whitening lotion,114.9611,Good
pet shampoo,138.3252,Good
chocolate cake bar,0,27
chocolate cake bar,11.76399,Good
cheddar spread,32.15256,Good
frozen bangus,54.51315,Good
tacchino,77.21055,Good
baby wipes,114.6166,Good
shampoo,0,28
deodorant,16.7802,Good
breakfast cereal,50.17944,Good
hazelnut with cocoa spread,73.21046,Good
bell pepper,96.5686,Good
fries,115.2558,Good
frozen bangus,132.2707,Good
nutella,0,29
deodorant,30.17122,Good
dishwashing liquid,54.87316,Good
rejuvenating serum,76.90243,Good
bell pepper,115.6442,Good
onion,129.9785,Good
shampoo,0,30
whole grain oats,20.46109,Good
sword pepper,50.51138,Good
onion,73.54938,Good
dishwashing liquid,105.9398,Good
cayenne pepper,0,31
cocoa powder,25.14768,Good
whitening lotion,52.51865,Good
pet shampoo,73.87448,Good
hazelnut with cocoa spread,107.9389,Good
cloves,0,32
misua,34.17495,Good
rejuvenating serum,75.26335,Good
nori,105.9776,Good
ramen,125.6649,Good
ramen,0,33
canned ham,20.46709,Good
chicken spread,41.83005,Good
cheddar spread,56.50206,Good
chicken cutlet,79.53177,Good
rejuvenating serum,0,34
onion,35.52382,Good
soy sauce,55.8732,Good
hazelnut with cocoa spread,77.57066,Good
vanilla cake bar,92.91389,Good
whole grain oats,0,35
prune juice,14.76817,Good
chicken spread,36.47311,Good
deodorant,78.55926,Good
air freshener,102.5941,Good
canned ham,129.3029,Good
chicken cutlet,158.862,Good
milk tea,0,36
muffin,27.82466,Good
wheat sesame,47.51136,Good
paper plates,78.89558,Good
rejuvenating serum,98.91795,Good
fries,143.0111,Good
white cheese,0,37
soy milk drink strawberry flavor,30.83027,Good
black roast coffee,50.18103,Good
cotton buds,80.56499,Good
facial wash,98.58146,Good
cocoa powder,125.9598,Good
cotton buds,0,38
mosquito net,20.13265,Good
baby wipes,36.813,Good
black roast coffee,72.21243,Good
whole grain oats,89.89268,Good
ramen,109.2452,Good
milk tea,131.2707,Good
chocolate cake bar,0,39
rice stick,19.46269,Good
white cheese,43.1636,Good
frozen bangus,67.8657,Good
cheddar spread,91.23213,Good
nori,0,40
deodorant,27.82026,Good
pain relief oil,46.50509,Good
onion,81.9059,Good
frozen bangus,101.5916,Good
soy milk drink strawberry flavor,130.3054,Good
